trade_id,portfolio,typology,asset_class,currency,notional,market_value,pnl,dv01_par,dv01_zero,vega,theta,settled_cash,future_cash
BOOT001,FLOW_IR_EUR,IRS,IR,EUR,40322961,1255048.48,1257567.86,1661.31,1698.41,0,0,80645.92,201614.81
BOOT002,FLOW_IR_EUR,IRS,IR,EUR,43371994,-531611.7,-530477.94,1786.93,1826.84,0,0,86743.99,216859.97
BOOT003,FLOW_IR_EUR,IRS,IR,EUR,33182073,140030.11,144954.63,1367.1,1397.63,0,0,66364.15,165910.37
BOOT004,FLOW_IR_EUR,IRS,IR,EUR,24110147,643075.18,643787.96,993.34,1015.52,0,0,48220.29,120550.74
BOOT005,FLOW_IR_EUR,IRS,IR,EUR,27247509,1539462.7,1542192.78,1122.6,1147.67,0,0,54495.02,136237.55
BOOT006,FLOW_IR_EUR,IRS,IR,EUR,18358064,360897.97,363880.22,756.35,773.24,0,0,36716.13,91790.32
BOOT007,FLOW_IR_EUR,IRS,IR,EUR,16731309,162793.9,165041.76,689.33,704.73,0,0,33462.62,83656.55
BOOT008,FLOW_IR_EUR,IRS,IR,EUR,11377166,319819.61,320563.75,468.74,479.21,0,0,22754.33,56885.83
BOOT009,FLOW_IR_EUR,IRS,IR,EUR,53360003,-658704.75,-657867.12,2198.43,2247.52,0,0,106720.01,266800.02
BOOT010,FLOW_IR_EUR,IRS,IR,EUR,23526286,-196517.62,-196097,969.28,990.92,0,0,47052.57,117631.43
VOLS001,FLOW_FX_USD,FX_Option,FX,USD,32911902,1844033.64,1845241.34,0,0,36203.09,-10367.25,65823.8,164559.51
VOLS002,FLOW_FX_USD,FX_Option,FX,USD,30717118,1721386.03,1726319.74,0,0,33788.83,-9675.9,61434.24,153585.59
VOLS003,FLOW_FX_USD,FX_Option,FX,USD,23068046,703217.49,706779.19,0,0,25374.85,-7266.43,46136.09,115340.23
VOLS004,FLOW_FX_USD,FX_Option,FX,USD,32706725,151305.37,154894.29,0,0,35977.4,-10302.62,65413.45,163533.63
VOLS005,FLOW_FX_USD,FX_Option,FX,USD,36755652,1880566.94,1880725.1,0,0,40431.22,-11578.04,73511.3,183778.26
VOLS006,FLOW_FX_USD,FX_Option,FX,USD,43903214,2148427.6,2149978.58,0,0,48293.53,-13829.51,87806.43,219516.07
VOLS007,FLOW_FX_USD,FX_Option,FX,USD,16145994,721945.75,725377.83,0,0,17760.59,-5085.99,32291.99,80729.97
VOLS008,FLOW_FX_USD,FX_Option,FX,USD,49680676,3082689.42,3086306.12,0,0,54648.75,-15649.41,99361.35,248403.38
SETL001,FLOW_FX_JPY,FX_Forward,FX,JPY,11478010,-165267.29,-162587.2,0,0,0,0,19512.62,60833.45
SETL002,FLOW_FX_JPY,FX_Forward,FX,JPY,58986509,-353349.49,-353260.38,0,0,0,0,100277.07,312628.5
SETL003,FLOW_FX_JPY,FX_Forward,FX,JPY,17379604,29457.84,32811.59,0,0,0,0,29545.33,92111.9
SETL004,FLOW_FX_JPY,FX_Forward,FX,JPY,23823377,-176308.97,-175078.29,0,0,0,0,40499.74,126263.9
SETL005,FLOW_FX_JPY,FX_Forward,FX,JPY,53581938,1345142.38,1348151.25,0,0,0,0,91089.3,283984.27
SETL006,FLOW_FX_JPY,FX_Forward,FX,JPY,59700343,1395419.88,1396854.29,0,0,0,0,101490.59,316411.82
SETL007,FLOW_FX_JPY,FX_Forward,FX,JPY,53817259,410284.33,411662.28,0,0,0,0,91489.34,285231.48
DAYC001,FLOW_IR_GBP,Bond,IR,GBP,55931839,-1336601.9,-1333357.05,2237.27,2282.02,0,0,113541.64,279659.2
DAYC002,FLOW_IR_GBP,Bond,IR,GBP,43735317,-579016.77,-574478.86,1749.41,1784.4,0,0,88782.69,218676.59
DAYC003,FLOW_IR_GBP,Bond,IR,GBP,11409689,580022.73,580584.18,456.39,465.52,0,0,23161.67,57048.45
DAYC004,FLOW_IR_GBP,Bond,IR,GBP,44270008,578375.78,582150.18,1770.8,1806.22,0,0,89868.12,221350.04
DAYC005,FLOW_IR_GBP,Bond,IR,GBP,11471150,126128.62,130464.42,458.85,468.03,0,0,23286.43,57355.75
RNDS001,FLOW_IR_USD,IRS,IR,USD,12706717,332672.65,335451.47,508.27,518.44,0,0,25413.43,63533.59
RNDS002,FLOW_IR_USD,IRS,IR,USD,34416443,-400848.99,-395854.57,1376.66,1404.19,0,0,68832.89,172082.22
RNDS003,FLOW_IR_USD,IRS,IR,USD,29112877,948618.08,949055.38,1164.52,1187.81,0,0,58225.75,145564.39
RNDS004,FLOW_IR_USD,IRS,IR,USD,15505536,631135.22,633887.24,620.22,632.62,0,0,31011.07,77527.68
RNDS005,FLOW_IR_USD,IRS,IR,USD,17007744,-140499.2,-138583.72,680.31,693.92,0,0,34015.49,85038.72
BARR001,FLOW_FX_EUR,FX_Barrier_Option,FX,EUR,47413543,343574.84,343837.36,0,0,56896.25,-16357.67,94827.09,237067.72
BARR002,FLOW_FX_EUR,FX_Barrier_Option,FX,EUR,30109060,276855.02,278323.04,0,0,36130.87,-10387.63,60218.12,150545.3
BARR003,FLOW_FX_EUR,FX_Barrier_Option,FX,EUR,26303060,1592140.94,1597140.45,0,0,31563.67,-9074.56,52606.12,131515.3
BARR004,FLOW_FX_EUR,FX_Barrier_Option,FX,EUR,47026606,419539.34,424046.45,0,0,56431.93,-16224.18,94053.21,235133.03
BARR005,FLOW_FX_EUR,FX_Barrier_Option,FX,EUR,35350029,2394768.31,2395255.61,0,0,42420.04,-12195.76,70700.06,176750.15
GOOD001,FLOW_IR_EUR,IRS,IR,EUR,13630727,-30788.1,-28030.96,545.23,556.13,0,0,27261.45,68153.63
GOOD002,FLOW_IR_EUR,IRS,IR,EUR,52978359,661947.94,666271.33,2119.13,2161.51,0,0,105956.72,264891.8
GOOD003,FLOW_IR_EUR,IRS,IR,EUR,18075115,360009.69,360333.98,723,737.46,0,0,36150.23,90375.58
GOOD004,FLOW_IR_EUR,IRS,IR,EUR,12044908,258827.19,261220.21,481.8,491.44,0,0,24089.82,60224.54
GOOD005,FLOW_IR_EUR,IRS,IR,EUR,52342557,-335229.05,-331831.43,2093.7,2135.57,0,0,104685.11,261712.79
GOOD006,FLOW_IR_EUR,IRS,IR,EUR,45006500,1047516.63,1051900.25,1800.26,1836.27,0,0,90013,225032.5
GOOD007,FLOW_IR_EUR,IRS,IR,EUR,23370271,880764.68,881919.11,934.81,953.51,0,0,46740.54,116851.36
GOOD008,FLOW_IR_EUR,IRS,IR,EUR,57972143,803534.25,804081.27,2318.89,2365.27,0,0,115944.29,289860.72
GOOD009,FLOW_IR_EUR,IRS,IR,EUR,47917451,2656193.16,2657336.15,1916.7,1955.03,0,0,95834.9,239587.26
GOOD010,FLOW_IR_EUR,IRS,IR,EUR,23559797,1202851.82,1207651.48,942.39,961.24,0,0,47119.59,117798.99
