trade_id,portfolio,typology,asset_class,currency,notional,market_value,pnl,settled_cash
MX00001,FLOW_IR_EUR,FX_Forward,IR,EUR,50081630,548590.98,33756.85,2161.3
MX00002,EQ_DELTA1_EU,IRS,EQ,EUR,26801903,1152838.11,16276.38,1095.24
MX00003,FLOW_IR_EUR,FX_Forward,FX,EUR,17412117,572438.95,10172.55,2461.18
MX00004,EQ_DELTA1_EU,EQ_Option,FX,EUR,30094346,4227.99,67302.73,3964.79
MX00005,EQ_DELTA1_EU,FX_Forward,EQ,EUR,30422667,914613.03,31726.05,908.6
MX00006,FLOW_IR_EUR,FX_Forward,IR,EUR,45579696,1158833.79,5037.37,3168.51
MX00007,EQ_DELTA1_EU,IRS,IR,EUR,48790428,-75137.91,38970.11,1251.7
MX00008,EQ_DELTA1_EU,IRS,EQ,EUR,15193465,1495618.86,13198.54,3809.03
MX00009,FLOW_FX_G10,FX_Forward,EQ,EUR,23406912,756031.34,39770.59,2012.8
MX00010,EQ_DELTA1_EU,IRS,IR,EUR,11720378,-448223.54,58917.04,2070.52
MX00011,EQ_DELTA1_EU,FX_Forward,FX,EUR,41501976,205480.73,20107.09,4102.89
MX00012,FLOW_FX_G10,EQ_Option,EQ,EUR,43233206,282548.7,77985.26,93.16
MX00013,EQ_DELTA1_EU,FX_Forward,EQ,EUR,47305427,-282335.22,5847.52,1580.41
MX00014,EQ_DELTA1_EU,IRS,IR,EUR,36793126,-318342.27,16875.67,874.04
MX00015,FLOW_IR_EUR,EQ_Option,IR,EUR,11391838,-282137.56,8587.87,4231.1
MX00016,FLOW_FX_G10,EQ_Option,FX,EUR,39472329,1092948,20005.68,4988.06
MX00017,FLOW_FX_G10,FX_Forward,IR,EUR,59047796,1440635.97,9966.05,4589.85
MX00018,FLOW_IR_EUR,FX_Forward,FX,EUR,16959152,446114.55,20626.41,1019.07
MX00019,FLOW_IR_EUR,EQ_Option,IR,EUR,18501093,524336.94,69836,2869.03
MX00020,FLOW_IR_EUR,EQ_Option,FX,EUR,34879424,1402055.95,64334.85,3022.52
MX00021,FLOW_FX_G10,FX_Forward,IR,EUR,28947940,161391.08,14571.82,3179.5
MX00022,FLOW_IR_EUR,IRS,EQ,EUR,10301462,-29527.68,42409.55,3905.34
MX00023,EQ_DELTA1_EU,FX_Forward,EQ,EUR,36703306,438148.33,5955.05,4117
MX00024,FLOW_IR_EUR,FX_Forward,IR,EUR,42663310,-344247.2,32307.43,4723.5
MX00025,FLOW_FX_G10,FX_Forward,EQ,EUR,32700340,1021502.81,35943.22,792.04
MX00026,FLOW_FX_G10,IRS,IR,EUR,31283444,700069.34,63699.96,4279.64
MX00027,FLOW_IR_EUR,IRS,FX,EUR,57593046,-492469.23,78813.89,3148.48
MX00028,FLOW_FX_G10,EQ_Option,FX,EUR,25527523,1287149.2,57977.8,3180
MX00029,FLOW_FX_G10,IRS,FX,EUR,31174509,1060127.47,77554.7,2951.38
MX00030,FLOW_FX_G10,FX_Forward,IR,EUR,32794473,390487.68,92499.36,2419.28
MX00031,FLOW_IR_EUR,IRS,IR,EUR,17165963,1145234.55,53877.84,387.51
MX00032,FLOW_FX_G10,EQ_Option,FX,EUR,25309733,21111.13,89909.85,2246.68
MX00033,FLOW_IR_EUR,IRS,IR,EUR,54729671,1008388.78,79786.32,58.64
MX00034,EQ_DELTA1_EU,EQ_Option,IR,EUR,10854271,842674.19,82545.69,3996.57
MX00035,FLOW_IR_EUR,FX_Forward,IR,EUR,31775051,564448.98,95291.47,2161.27
MX00036,FLOW_FX_G10,EQ_Option,EQ,EUR,56451274,631899.29,31681.23,1916.8
MX00037,EQ_DELTA1_EU,EQ_Option,IR,EUR,45390857,-459158.51,94462.11,204.02
MX00038,FLOW_FX_G10,FX_Forward,IR,EUR,34826986,245748.57,73624.69,298.06
MX00039,FLOW_IR_EUR,FX_Forward,EQ,EUR,58429481,-342569.79,66713.07,554.91
MX00040,FLOW_IR_EUR,FX_Forward,EQ,EUR,59720707,156326.36,48241.85,4326.82
MX00041,FLOW_IR_EUR,EQ_Option,FX,EUR,40802809,-275337.94,93680.84,4855.11
MX00042,FLOW_FX_G10,EQ_Option,FX,EUR,39389256,1002731.27,80848.53,121.39
MX00043,EQ_DELTA1_EU,EQ_Option,IR,EUR,44668578,1381425.39,8106.33,906.14
MX00044,EQ_DELTA1_EU,IRS,IR,EUR,14027081,937227.39,40227.36,812.21
MX00045,EQ_DELTA1_EU,FX_Forward,EQ,EUR,13565553,1167023.7,86610.9,4420.48
MX00046,EQ_DELTA1_EU,EQ_Option,EQ,EUR,51230154,-404710.71,12831.83,145.03
MX00047,FLOW_IR_EUR,FX_Forward,FX,EUR,22209649,1265798.26,14844.12,3835.8
MX00048,FLOW_IR_EUR,FX_Forward,EQ,EUR,56719466,85854.64,22057.34,4638.64
MX00049,FLOW_IR_EUR,FX_Forward,FX,EUR,45811290,1288770.68,96254.31,3379.05
MX00050,EQ_DELTA1_EU,IRS,EQ,EUR,51379300,976088.56,51739.52,4520.58
