trade_id,portfolio,commodity_delta,commodity_vega,commodity_gamma,underlying
MX00001,COM_ENERGY,-19054.79,16069.19,622.08,COPPER
MX00002,COM_ENERGY,-3866.1,11364.73,869.32,COPPER
MX00003,COM_ENERGY,-9437.05,19908.45,309.12,COPPER
MX00004,COM_ENERGY,-23095.49,13757.66,1433.51,BRENT
MX00005,COM_ENERGY,-23168.43,2877.04,2034.24,BRENT
MX00006,COM_ENERGY,24780.96,18112.81,2410.19,WTI
MX00007,COM_ENERGY,-939.2,5324.96,2212.05,GOLD
MX00008,COM_ENERGY,-13388.17,3731.44,579.1,WTI
MX00009,COM_ENERGY,-19580.53,1919.09,1666.68,NATGAS
MX00010,COM_ENERGY,17744.13,11427.99,1426.67,WTI
MX00011,COM_ENERGY,-22499.17,13285.75,2673.94,WTI
MX00012,COM_ENERGY,18286.92,11473.98,1313.42,COPPER
MX00013,COM_ENERGY,-24915.89,15855.4,1139.18,WTI
MX00014,COM_ENERGY,-6965.79,11006.08,531.4,GOLD
MX00015,COM_ENERGY,8097.99,13884.93,1814.93,COPPER
MX00016,COM_ENERGY,-14307.31,13262.07,1968.62,NATGAS
MX00017,COM_ENERGY,7459.52,10149.67,54.64,COPPER
MX00018,COM_ENERGY,5766.83,2632.2,1965.2,COPPER
MX00019,COM_ENERGY,10365.53,14638.08,495.3,BRENT
MX00020,COM_ENERGY,-11835.86,18802.79,99.58,NATGAS
