trade_id,portfolio,eq_delta,eq_vega,eq_theta,eq_gamma
MX00001,EQ_VOL_EU,47676.03,24882.09,-4671.16,833.01
MX00002,EQ_VOL_EU,-20541.4,48738.42,-5653.7,2432.28
MX00003,EQ_VOL_EU,-27888.81,22069.72,-6994.29,2339.2
MX00004,EQ_VOL_EU,32983.27,4014.13,-289.12,1560.56
MX00005,EQ_VOL_EU,5488.51,46300.25,-4780.95,410.47
MX00006,EQ_VOL_EU,22506.71,25401.97,-609.76,2822.8
MX00007,EQ_VOL_EU,-59694.39,16871.18,-1690.31,1318.17
MX00008,EQ_VOL_EU,-84833.61,37782.55,-2036.11,751.19
MX00009,EQ_VOL_EU,-23159.52,32730.26,-7314.19,2227.56
MX00010,EQ_VOL_EU,-73456.36,17796.51,-5850.81,625.58
MX00011,EQ_VOL_EU,-66579.45,5933.79,-4902.27,2475.95
MX00012,EQ_VOL_EU,-81085.49,12328.05,-2196.79,4502.04
MX00013,EQ_VOL_EU,-81449.23,20571.91,-4176.79,1205.16
MX00014,EQ_VOL_EU,88898.84,44482.83,-5760.88,4243.28
MX00015,EQ_VOL_EU,-8268.21,48239.59,-4260.38,1908.97
MX00016,EQ_VOL_EU,62172.93,39362.69,-8654.51,2847.98
MX00017,EQ_VOL_EU,-65920.15,19844.88,-8481.5,4341.03
MX00018,EQ_VOL_EU,-15066.85,21471.28,-3193.82,3496.17
MX00019,EQ_VOL_EU,-4711.35,12234.29,-2606.5,4173.87
MX00020,EQ_VOL_EU,-96429.41,29290.33,-2295.8,2423.2
MX00021,EQ_VOL_EU,-59794.49,30664.15,-2046.54,2123.28
MX00022,EQ_VOL_EU,-37046.41,32675.51,-9584.91,2365.13
MX00023,EQ_VOL_EU,-59519.89,33817.13,-5427.23,2179.37
MX00024,EQ_VOL_EU,72072.27,45098.21,-7295.34,2186.16
MX00025,EQ_VOL_EU,94642.48,37051.55,-2619.95,4908.22
