trade_id,portfolio,market_value,realised_pnl,unrealised_pnl,total_pnl
MX00001,FLOW_IR_EUR,548418.87,2730.55,548683.04,33796.06
MX00002,EQ_DELTA1_EU,1152725.3,2330.98,1152737.21,16267.78
MX00003,FLOW_IR_EUR,572558.03,1054.98,572310.14,10195.77
MX00004,EQ_DELTA1_EU,4051.07,2629.86,4383.79,67292.32
MX00005,EQ_DELTA1_EU,914791.6,3795.62,914669.58,31733.57
MX00006,FLOW_IR_EUR,1158736.08,1526.6,1158673.12,5120.48
MX00007,EQ_DELTA1_EU,-74889.85,1876.55,-75106.38,38902.83
MX00008,EQ_DELTA1_EU,1495409.39,1377.51,1495784.47,13280.72
MX00009,FLOW_FX_G10,756038.78,797.36,756246.54,39683.35
MX00010,EQ_DELTA1_EU,-448028.91,2484.84,-448209.39,58904.23
MX00011,EQ_DELTA1_EU,205314.95,4731.74,205244.95,20063.72
MX00012,FLOW_FX_G10,282630.05,840.77,282689.54,78020.9
MX00013,EQ_DELTA1_EU,-282489.57,345.62,-282314.68,5910.79
MX00014,EQ_DELTA1_EU,-318154.15,4380.86,-318370.43,16805.63
MX00015,FLOW_IR_EUR,-282246.88,212.72,-282034.41,8674.57
MX00016,FLOW_FX_G10,1092906.22,489.59,1092807.66,20010.91
MX00017,FLOW_FX_G10,1440510.22,2415.2,1440593.67,10063.38
MX00018,FLOW_IR_EUR,446318.93,3467.65,445975.96,20623.62
MX00019,FLOW_IR_EUR,524485.61,917,524180.95,69813.69
MX00020,FLOW_IR_EUR,1401935.31,3732.07,1402143.15,64253.51
MX00021,FLOW_FX_G10,161372.92,583.07,161223.88,14545.24
MX00022,FLOW_IR_EUR,-29375.85,3760.46,-29616.24,42450.64
MX00023,EQ_DELTA1_EU,437900.8,900.86,438345.08,5913.32
MX00024,FLOW_IR_EUR,-344418.68,1909.98,-344364.62,32401.29
MX00025,FLOW_FX_G10,1021512.53,3622.81,1021283.75,35901.43
MX00026,FLOW_FX_G10,699821.83,1759.9,699882.56,63772.37
MX00027,FLOW_IR_EUR,-492644.04,1147.42,-492397.33,78718.87
MX00028,FLOW_FX_G10,1286913.97,3738.71,1286978.02,57963.91
MX00029,FLOW_FX_G10,1060348.07,3030.77,1060059.97,77637.39
MX00030,FLOW_FX_G10,390382.65,2116.18,390633.5,92457.71
