trade_id,portfolio,market_value,ir_sensitivity,equity_sensitivity,fx_sensitivity,commodity_sensitivity,risk_class
MX00001,EQ_DELTA1_EU,-346773.43,1051.51,-19732.11,10938.36,-7513.62,COM
MX00002,FLOW_FX_G10,745898.86,1085.48,-6100.68,-3272.81,-1914.59,GIRR
MX00003,FLOW_IR_EUR,-167002.63,1370.55,-33912.94,21414.5,228.39,GIRR
MX00004,FLOW_FX_G10,1768948.34,-1483.54,-4844.3,15234.65,-1655.84,COM
MX00005,COM_ENERGY,-531890.45,701.87,-21073.31,-2365.23,-3786.79,GIRR
MX00006,FLOW_IR_EUR,382642.74,1089.09,25293.65,39715.21,9007.59,COM
MX00007,FLOW_FX_G10,1071023.01,779.56,121.51,515.04,12292.15,EQ
MX00008,FLOW_IR_EUR,1604430.58,162.85,-31389.96,-7115.49,11748.58,CSR
MX00009,FLOW_FX_G10,114095.6,478.3,-48043.03,23262.6,10390.08,GIRR
MX00010,EQ_DELTA1_EU,-450723.77,-457.46,-264.1,38048.71,10407.54,FX
MX00011,FLOW_FX_G10,44648.46,956.27,-49472.3,-37200.63,-11830.69,CSR
MX00012,FLOW_IR_EUR,653741.29,-44.91,11783.34,38062.65,7334.97,GIRR
MX00013,FLOW_IR_EUR,-331837.4,-227.52,28236.54,-5120.44,-5755.71,GIRR
MX00014,EQ_DELTA1_EU,-234681.42,-1360.55,38732.87,-7206.05,-13947.83,CSR
MX00015,FLOW_IR_EUR,1839471.21,977.13,-37560.52,28256.45,-14344.16,EQ
MX00016,FLOW_FX_G10,1326271.93,579.14,-20075.39,27848.44,8363.16,EQ
MX00017,EQ_DELTA1_EU,1146253.42,-466.59,36019.21,11491.11,4912.7,FX
MX00018,FLOW_FX_G10,1618618.51,-64.57,34316.66,12552.56,1534.78,CSR
MX00019,FLOW_IR_EUR,-262457.93,-1207.26,16327.05,8192.34,-3170.67,FX
MX00020,FLOW_IR_EUR,-676907.28,587.82,-7710.57,14774.04,7751.5,CSR
MX00021,EQ_DELTA1_EU,-443600.54,972.05,12301.69,37923.58,8015.17,EQ
MX00022,COM_ENERGY,1338552.34,-1196,-44373.16,22738.16,9705.66,GIRR
MX00023,FLOW_IR_EUR,-183960.28,-1364.21,-10359.67,-21858.03,10955.56,EQ
MX00024,FLOW_FX_G10,697507.95,-667.01,-32596.99,19671.06,-7203,CSR
MX00025,EQ_DELTA1_EU,-206699.95,-614.41,12970.65,4918.65,-336.05,CSR
MX00026,FLOW_FX_G10,541911.03,1431.73,-42823.42,30377.01,-13068.91,GIRR
MX00027,COM_ENERGY,-660861.2,-366.19,19388.11,-36460.94,13879.88,GIRR
MX00028,FLOW_IR_EUR,858317.94,-1387.59,8445.1,1144.93,-9391.16,CSR
MX00029,FLOW_IR_EUR,-526935.84,107.3,-1241.94,22226.71,10334.63,FX
MX00030,COM_ENERGY,387166.05,-1134.19,15839.01,-24589.71,6142.56,FX
MX00031,FLOW_FX_G10,969327.38,-734.32,27148.3,-12053.75,-10752.52,CSR
MX00032,COM_ENERGY,-731146.17,-339.98,17199,33803.2,6167.23,COM
MX00033,COM_ENERGY,1536881.14,-329.76,36936.84,-3439.12,-14207.86,GIRR
MX00034,COM_ENERGY,-34995.31,-724.75,-34689.92,34401.36,14496.74,EQ
MX00035,COM_ENERGY,-816573.18,1419.08,-21629.56,2779.73,-2153.22,EQ
