trade_id,portfolio,market_value,dv01_par,fx_delta,var_1d_99
MX00001,FLOW_IR_EUR,450413.99,1929.04,-25891.27,1175.13
MX00002,FLOW_FX_G10,106359.16,-1936.98,862.05,35905.93
MX00003,FLOW_FX_G10,-183933.91,1575.65,11946.3,44110.46
MX00004,FLOW_FX_G10,57285.85,-1824.85,-39163.95,3607.26
MX00005,FLOW_IR_EUR,166020.9,-708.14,-24004.87,27197.69
MX00006,FLOW_FX_G10,235791.5,1162.27,-3697.44,24987.25
MX00007,FLOW_FX_G10,1101508.4,-1823.84,8936.58,38243.05
MX00008,FLOW_IR_EUR,1238595.02,-907.23,-42686.3,47539.92
MX00009,FLOW_IR_EUR,-143442.45,-839.49,-6709.4,39214.01
MX00010,FLOW_IR_EUR,926989.84,1164.07,20288.98,28771.2
MX00011,FLOW_IR_EUR,369362.1,642.23,-45257.61,26164.97
MX00012,FLOW_FX_G10,464380.38,-915,21417.55,29998.27
MX00013,FLOW_IR_EUR,283509.38,766.56,49571.35,26539.48
MX00014,FLOW_FX_G10,1117765.42,909.63,22926.45,37924.42
MX00015,FLOW_IR_EUR,1216340.82,10.47,38437.36,13936.32
MX00016,FLOW_IR_EUR,-367536.71,1179.49,40978.15,16018.95
MX00017,FLOW_FX_G10,466072.44,-2264.06,-1312.27,39971.74
MX00018,FLOW_IR_EUR,1022659.08,1081.58,-47903,5354.66
MX00019,FLOW_FX_G10,-441193.67,-200.11,-28629.8,5428.64
MX00020,FLOW_IR_EUR,583671.75,900.95,-49654.89,14549.72
MX00021,FLOW_FX_G10,470590.32,1987.45,32287.37,35083.28
MX00022,FLOW_FX_G10,-99346.35,1677.11,-9407.7,42988.19
MX00023,FLOW_IR_EUR,1263600.15,-1318.83,-14284.72,19029.8
MX00024,FLOW_IR_EUR,640308.5,-830.91,-12262.85,26611.3
MX00025,FLOW_FX_G10,1124120.65,828.97,-48734.55,41723.39
MX00026,FLOW_IR_EUR,633893.59,2165.52,-32296.31,24809.62
MX00027,FLOW_FX_G10,1063131.39,-486.83,41826.64,989.59
MX00028,FLOW_FX_G10,917888.64,-1021.51,-4530.02,28736.36
MX00029,FLOW_FX_G10,-441603.66,1965.6,-19312.87,41960.49
MX00030,FLOW_IR_EUR,1350159.74,-1016.02,14152.18,29632.89
MX00031,FLOW_IR_EUR,438062.79,2189.58,770.87,38866.11
MX00032,FLOW_FX_G10,1132484.43,-1874.4,-26721.9,48093.49
MX00033,FLOW_FX_G10,970466.8,709.35,30450.28,35294.39
MX00034,FLOW_IR_EUR,531201.47,-737.53,-19604.08,16180.17
MX00035,FLOW_FX_G10,-355248.22,2427.6,4138.46,34551.25
MX00036,FLOW_FX_G10,773338.07,1854.4,-44236.3,8873.2
MX00037,FLOW_IR_EUR,-320950.41,-1329.23,-48465.26,2377.3
MX00038,FLOW_FX_G10,522706.1,-1344.06,-33524.04,12177.95
MX00039,FLOW_IR_EUR,1060135.99,-2018.13,-2261.68,20263.84
MX00040,FLOW_FX_G10,-380357.82,-1354.91,24970.55,34540.05
